riotIdGameName,riotIdTagline,region,champion_followed,position_followed
adad,6003,asia,Draven,BOTTOM
마아타,KR1,asia,Jarvaniv,JUNGLE
high hopes,DNS,asia,,SUPPORT
SAND Five,zypp,asia,Aurora,MIDDLE
TiSaD VN,T1SaD,asia,Gwen,TOP
petrichor,0237,asia,Qiyana,MIDDLE
